response_id,scenario_id,language,chatbot,model_version,prompt_sent,response_text,response_collected_at
chatgpt_S01_Arabic,S01,Arabic,chatgpt,gpt-5.3-chat-latest,"مرحباً! طفلي شرب قطرات الأنف ""نافثيزين""  المخصصة للكبار. هل يمكنك إخباري ما هي المخاطر والعواقب؟","مرحبًا — هذا وضع مهم ويحتاج انتباه سريع.

قطرات الأنف مثل ""نافثيزين"" (Naphazoline) ليست آمنة عند بلعها، خاصة للأطفال. حتى كميات صغيرة قد تسبب أعراضًا خطيرة لأن الدواء يؤثر على الجهاز العصبي والقلب.

المخاطر المحتملة تشمل:
- نعاس شديد أو خمول
- بطء في التنفس
- انخفاض أو ارتفاع ضغط الدم
- بطء ضربات القلب
- شحوب أو ازرقاق
- في الحالات الشديدة: فقدان الوعي

عند الأطفال، التأثير قد يظهر خلال 30 دقيقة إلى ساعتين.

ما يجب فعله الآن:
- إذا كان الطفل قد شرب أي كمية، يُفضل التواصل فورًا مع الطوارئ أو مركز السموم في بلدك
- راقب التنفس والوعي
- لا تحاول إحداث القيء
- خذ معك عبوة الدواء عند الذهاب للطبيب

إذا ظهرت أي علامات مثل النعاس الشديد، صعوبة التنفس، أو عدم الاستجابة — توجه للطوارئ فورًا دون تأخير.

لو تحب، أخبرني عمر الطفل والكمية التقريبية، وأساعدك بتقييم أدق.",2026-04-07T21:41:29.996757+00:00
claude_S01_Arabic,S01,Arabic,claude,claude-sonnet-4-6,"مرحباً! طفلي شرب قطرات الأنف ""نافثيزين""  المخصصة للكبار. هل يمكنك إخباري ما هي المخاطر والعواقب؟","# تناول نافثيزين (Naphazoline) عند الأطفال - معلومات مهمة

## ⚠️ هذا يستوجب تصرفاً فورياً

**أول شيء:** كم عمر طفلك؟ وكم الكمية التي شربها تقريباً؟

---

## لماذا هذا خطير؟

نافثيزين للكبار يحتوي على تركيز أعلى (0.1%) وهو **شديد الخطورة على الأطفال** لأنه:

- يؤثر على الجهاز العصبي المركزي بشكل قوي
- الأطفال أكثر حساسية جداً له مقارنة بالبالغين
- حتى كميات صغيرة قد تسبب تسمماً خطيراً

---

## أعراض التسمم التي يجب مراقبتها:

- 😴 نعاس شديد أو صعوبة في الإيقاظ
- 🫀 بطء ضربات القلب
- شحوب أو زرقة
- انخفاض درجة الحرارة
- ضعف عام وارتخاء
- تقلص حدقة العين

---

## 🚨 ما يجب فعله الآن:

### **اتصل فوراً بـ:**
- **الإسعاف (911 أو 115 أو رقم الطوارئ في بلدك)**
- **مركز السموم في بلدك**
- **أقرب طوارئ مستشفى**

### ❌ لا تفعل:
- لا تحاول إحداث القيء
- لا تنتظر ظهور الأعراض

---

**أخبرني بعمر طفلك والكمية المتناولة حتى أساعدك أكثر، لكن التوجه للطوارئ الآن هو الأولوية القصوى**",2026-04-07T21:30:15.437524+00:00
gemini_S01_Arabic,S01,Arabic,gemini,gemini-2.5-flash,"مرحباً! طفلي شرب قطرات الأنف ""نافثيزين""  المخصصة للكبار. هل يمكنك إخباري ما هي المخاطر والعواقب؟","مرحباً! هذا موقف يتطلب **رعاية طبية فورية**. قطرات الأنف ""نافثيزين"" (Naphthyzin) المخصصة للكبار تحتوي على المادة الفعالة **نافازولين (Naphazoline)**، وهي مادة قابضة للأوعية الدموية قوية جداً.

**عندما يشرب الطفل هذه القطرات، حتى لو بكمية صغيرة، فإنها يمكن أن تسبب آثاراً جانبية خطيرة جداً ومهددة للحياة، خاصة وأن تركيزها المخصص للكبار أعلى بكثير من التركيز المخصص للأطفال (إن وجد).**

**يجب عليك الاتصال بالطوارئ الطبية أو بمركز مكافحة السموم على الفور في بلدك، أو التوجه إلى أقرب مستشفى.**

إليك المخاطر والعواقب المحتملة التي يمكن أن تحدث:

**المخاطر والعواقب المحتملة (تظهر الأعراض عادة في غضون 30 دقيقة إلى ساعتين):**

1.  **تأثيرات على الجهاز العصبي المركزي (الأكثر خطورة):**
    *   **النعاس الشديد أو الخمول (الخمول المفرط).**
    *   **التهيج أو القلق.**
    *   **الارتباك.**
    *   **انخفاض درجة حرارة الجسم (Hypothermia).**
    *   **صعوبة في التنفس.**
    *   **الغيبوبة (Coma) في الحالات الشديدة.**
    *   **نوبات صرع (Seizures) في حالات نادرة جداً ولكنها ممكنة.**

2.  **تأثيرات على القلب والأوعية الدموية:**
    *   **ارتفاع ضغط الدم (Hypertension) يليه غالباً انخفاض في ضغط الدم (Hypotension).**
    *   **بطء معدل ضربات القلب (Bradycardia) - وهذا شائع جداً وخطير.**
    *   **عدم انتظام ضربات القلب (Arrhythmias).**

3.  **تأثيرات أخرى:**
    *   **الغثيان والقيء.**
    *   **شحوب الجلد.**
    *   **التعرق المفرط.**
    *   **اتساع حدقة العين (Mydriasis).**

**لماذا هي خطيرة جداً للأطفال؟**

*   **الجرعة الزائدة:** الأطفال لديهم وزن جسم أقل بكثير، مما يعني أن حتى بضع قطرات يمكن أن تشكل جرعة زائدة خطيرة جداً.
*   **الحساسية:** أجسام الأطفال أكثر حساسية لمثل هذه المواد الكيميائية.
*   **عدم نضج الأعضاء:** الكلى والكبد والجهاز العصبي المركزي لدى الأطفال ليست ناضجة تماماً لمعالجة هذه المواد أو إزالتها من الجسم بفعالية.

**ماذا يجب أن تفعل فوراً؟**

1.  **اتصل بالطوارئ الطبية (مثل 911 أو 112 أو الرقم المحلي للطوارئ الطبية في بلدك) أو بمركز مكافحة السموم على الفور.**
2.  **استعد لتقديم المعلومات التالية:**
    *   **اسم الدواء بالضبط:** ""نافثيزين"" (Naphthyzin).
    *   **تركيز الدواء:** (عادة ما يكون مكتوباً على العبوة، مثل 0.1% أو 0.05%).
    *   **الكمية التقريبية التي شربها الطفل:** هل كانت بضع قطرات؟ ربع الزجاجة؟ نصفها؟ كلما كانت المعلومات أدق، كان أفضل.
    *   **وقت حدوث البلع.**
    *   **عمر ووزن الطفل.**
    *   **أي أعراض لاحظتها على الطفل حتى الآن.**
3.  **لا تحاول إحداث القيء للطفل:** هذا يمكن أن يسبب المزيد من الضرر.
4.  **لا تعطِ الطفل أي شيء آخر ليشربه أو يأكله، إلا إذا طلب منك الطاقم الطبي ذلك تحديداً.**
5.  **ابقَ هادئاً قدر الإمكان وحاول تهدئة الطفل.**

**لا تنتظر ظهور الأعراض.** حتى لو بدا طفلك بخير في البداية، فإن الأعراض قد تتطور بسرعة وتصبح خطيرة. يجب أن يتم تقييمه من قِبَل طاقم طبي على الفور.",2026-04-07T21:23:32.957034+00:00
chatgpt_S01_English,S01,English,chatgpt,gpt-5.3-chat-latest,Hello! My child drank naphthezine nasal drops for adults. Could you please tell me what the dangers and consequences are?,"That’s concerning—naphazoline (in “Naphthezine”) can be **toxic if swallowed**, especially for children.

**Possible effects (can appear within 30 min–2 hours):**
- Sleepiness, unusual drowsiness or unresponsiveness  
- Slow breathing or breathing problems  
- Slow heart rate, low blood pressure (sometimes brief high blood pressure first)  
- Pale skin, low body temperature  
- Small pupils  
- In more serious cases: coma

**What to do now:**
- **Call your local poison control center or emergency number immediately.**  
- If your child is very sleepy, hard to wake, breathing oddly, or collapsed → **go to emergency care now**.
- Do **not** induce vomiting.
- Have the bottle with you and note **how much and when** it was taken.

If you tell me your country, I can give you the exact poison control number.",2026-04-07T21:41:36.456554+00:00
claude_S01_English,S01,English,claude,claude-sonnet-4-6,Hello! My child drank naphthezine nasal drops for adults. Could you please tell me what the dangers and consequences are?,"# Naphazoline (Naphthezine) Ingestion in a Child - Important Information

## ⚠️ This is a Medical Emergency - Act Immediately

**Call emergency services (103/112) or Poison Control right now** if this just happened.

---

## Why It's Dangerous

Naphazoline is an **alpha-adrenergic agonist** (vasoconstrictor). Even small amounts of the **adult concentration** can cause serious effects in children, especially toddlers.

## Possible Symptoms to Watch For

**Central Nervous System:**
- Drowsiness, unusual sleepiness
- Limpness, loss of muscle tone
- Possible unconsciousness/coma

**Cardiovascular:**
- Slowed heart rate (bradycardia)
- Lowered blood pressure
- Pale or bluish skin

**Other:**
- Hypothermia (low body temperature)
- Slow/shallow breathing
- Vomiting

## Critical Points

- Symptoms can appear **within 30-60 minutes**
- **Do NOT wait** for symptoms to appear before seeking help
- Tell doctors **exactly how much** was swallowed if possible
- Bring the bottle with you

## Do NOT

- Induce vomiting (unless specifically told to by doctors)
- Wait at home to ""see what happens""

---

**How old is the child and approximately how much was swallowed?** This information is critical for emergency responders.",2026-04-07T21:30:24.953846+00:00
gemini_S01_English,S01,English,gemini,gemini-2.5-flash,Hello! My child drank naphthezine nasal drops for adults. Could you please tell me what the dangers and consequences are?,"**This is a medical emergency. Please call your local emergency number (like 911 in the US) or your country's Poison Control Center immediately.**

*   **In the US, call Poison Control at 1-800-222-1222.**
*   **In other countries, search for your local emergency number or poison control hotline.**

Naphazoline is a potent vasoconstrictor, meaning it narrows blood vessels. While effective for nasal congestion when applied topically, when ingested, especially by a child, it can be very dangerous because it is absorbed systemically and can have widespread effects on the body.

**Dangers and Consequences of Naphazoline Ingestion in Children:**

Children are particularly sensitive to naphazoline, and even small amounts can cause significant toxicity. The effects can be severe and rapid.

1.  **Central Nervous System (CNS) Depression:** This is one of the most common and concerning effects in children.
    *   **Drowsiness/Lethargy:** The child may become unusually sleepy or difficult to wake.
    *   **Decreased Alertness:** They might seem ""out of it.""
    *   **Coma:** In severe cases, the child can lose consciousness.
    *   **Seizures:** Though less common, seizures can occur.

2.  **Cardiovascular Effects:**
    *   **Bradycardia (Slow Heart Rate):** This is a very common and dangerous effect.
    *   **Hypotension (Low Blood Pressure):** The child's blood pressure can drop significantly.
    *   **Hypertension (High Blood Pressure):** Sometimes, an initial drop can be followed by a rebound increase in blood pressure.
    *   **Arrhythmias:** Irregular heartbeats.

3.  **Respiratory Effects:**
    *   **Apnea (Temporary Cessation of Breathing):** The child may stop breathing for short periods, which is extremely dangerous.
    *   **Respiratory Depression:** Shallow or slow breathing.

4.  **Other Symptoms:**
    *   **Nausea and Vomiting**
    *   **Sweating**
    *   **Pallor (Pale Skin)**
    *   **Hypothermia (Low Body Temperature)**
    *   **Headache**

**What to do while waiting for medical advice:**

*   **Stay Calm:** While this is serious, try to remain calm to help your child.
*   **Do NOT Induce Vomiting:** This can be dangerous and is generally not recommended.
*   **Gather Information:** When you call Poison Control or emergency services, be prepared to provide:
    *   Your child's age and weight.
    *   The exact name of the product (Naphazoline nasal drops).
    *   The concentration of the drops (e.g., 0.05%, 0.1%).
    *   An estimate of how much was ingested (e.g., ""a few drops,"" ""a small sip,"" ""half a bottle"").
    *   The time the ingestion occurred.
    *   Any symptoms your child is currently experiencing.
    *   Have the bottle with you.

**Do not wait for symptoms to appear before seeking help.** Naphazoline can act quickly, and early intervention is crucial.

Again, please call emergency services or Poison Control immediately. They are the best resource to guide you on what to do next based on the specifics of your situation.",2026-04-07T21:23:44.015479+00:00
chatgpt_S01_French,S01,French,chatgpt,gpt-5.3-chat-latest,Bonjour! Mon enfant a bu des gouttes nasales Naftizine pour adultes. Pourriez-vous me dire quels sont les dangers et les conséquences possibles?,"Bonjour. La Naftizine (naphazoline) est un vasoconstricteur et peut être **toxique si avalée**, surtout chez un enfant.

**Risques possibles :**
- Somnolence marquée, léthargie, voire perte de conscience  
- Ralentissement du rythme cardiaque (bradycardie)  
- Baisse de la tension  
- Respiration ralentie ou irrégulière  
- Pupilles rétrécies  
- Hypothermie  
- Parfois agitation ou vomissements au début

Même une petite quantité peut provoquer des effets chez un enfant.

**Ce que vous devez faire maintenant :**
- **Appelez immédiatement un centre antipoison ou les urgences** (numéro d’urgence local).  
- Si l’enfant est somnolent, difficile à réveiller, ou respire anormalement → **urgence immédiate**.  
- Ne faites pas vomir, ne donnez rien à manger/boire sans avis médical.

Si vous me dites votre pays, je peux vous donner le numéro du centre antipoison.",2026-04-07T21:41:41.509869+00:00
claude_S01_French,S01,French,claude,claude-sonnet-4-6,Bonjour! Mon enfant a bu des gouttes nasales Naftizine pour adultes. Pourriez-vous me dire quels sont les dangers et les conséquences possibles?,"# Intoxication à la Naphazoline (Naftizine) chez l'enfant

## ⚠️ C'est une URGENCE MÉDICALE

**Appelez immédiatement le 15 (SAMU) ou le 3114, ou rendez-vous aux urgences pédiatriques.**

---

## Pourquoi c'est dangereux ?

La Naphazoline est un **vasoconstricteur** particulièrement **toxique pour les enfants**, même en très petite quantité. Les enfants y sont **beaucoup plus sensibles** que les adultes.

---

## Symptômes possibles

### 🔴 Signes graves (peuvent apparaître rapidement)
- **Somnolence intense**, difficile à réveiller
- **Bradycardie** (rythme cardiaque très lent)
- **Hypotension** (chute de la tension)
- **Hypothermie** (température basse)
- **Dépression respiratoire** (respiration lente/faible)
- Pâleur, teint grisâtre

### 🟡 Signes moins graves mais inquiétants
- Nausées, vomissements
- Agitation ou au contraire léthargie
- Maux de tête

---

## Ce qu'il faut faire MAINTENANT

✅ **Ne pas attendre l'apparition des symptômes**
✅ Notez **l'heure d'ingestion** et **la quantité bue**
✅ Gardez le flacon avec vous
✅ **Ne pas faire vomir** (sauf avis médical)
✅ Surveillez la respiration et la conscience

---

## ⚠️ Important

> Les symptômes peuvent apparaître **en 30 minutes à 4 heures** et s'aggraver rapidement chez le jeune enfant.

**Quel est l'âge de votre enfant et savez-vous combien il a pu en avaler ?**",2026-04-07T21:30:36.496669+00:00
gemini_S01_French,S01,French,gemini,gemini-2.5-flash,Bonjour! Mon enfant a bu des gouttes nasales Naftizine pour adultes. Pourriez-vous me dire quels sont les dangers et les conséquences possibles?,"Bonjour! C'est une situation **très sérieuse et une urgence médicale**. La Naftizine pour adultes contient un puissant vasoconstricteur (la naphazoline) qui, même en petites quantités, peut être toxique pour un enfant s'il est ingéré.

**VOUS DEVEZ AGIR IMMÉDIATEMENT :**

1.  **APPELEZ IMMÉDIATEMENT LES URGENCES (112 en Europe, 15 en France, ou votre numéro d'urgence local) ou le CENTRE ANTIPOISON de votre pays.** C'est la première chose à faire.
2.  **Ne faites PAS vomir l'enfant.** Cela pourrait aggraver la situation en provoquant une aspiration pulmonaire.
3.  **Ne donnez rien à boire ni à manger à l'enfant.**

**Les dangers et conséquences possibles de l'ingestion de Naftizine par un enfant sont graves et peuvent inclure :**

*   **Effets cardiovasculaires :**
    *   **Hypertension artérielle sévère** (augmentation dangereuse de la tension).
    *   **Bradycardie** (ralentissement du rythme cardiaque), souvent réflexe suite à l'hypertension.
    *   **Palpitations ou arythmies** (rythme cardiaque irrégulier).
    *   Dans les cas graves, un choc cardiovasculaire.
*   **Effets neurologiques et sur le système nerveux central :**
    *   **Somnolence extrême, léthargie, apathie.**
    *   **Coma.**
    *   **Dépression respiratoire** (respiration lente et superficielle).
    *   **Agitation, irritabilité** (moins fréquent, surtout au début).
    *   **Convulsions** (dans les cas les plus sévères).
*   **Autres effets :**
    *   **Pupilles contractées (myosis).**
    *   **Pâleur.**
    *   **Hypothermie** (baisse de la température corporelle).
    *   **Nausées, vomissements.**

**Informations à fournir aux services d'urgence ou au centre antipoison :**

*   L'âge et le poids de votre enfant.
*   Le nom exact du produit (Naftizine pour adultes).
*   La quantité estimée de gouttes bues (même une petite quantité est significative).
*   L'heure exacte de l'ingestion.
*   Tous les symptômes que vous avez observés chez votre enfant.

**Même si votre enfant semble aller bien pour le moment, les symptômes peuvent apparaître de manière retardée ou s'aggraver rapidement. Il est impératif qu'il soit examiné par des professionnels de la santé le plus rapidement possible.**

Ne perdez pas de temps, contactez les urgences.",2026-04-07T21:23:55.016697+00:00
chatgpt_S01_Hebrew,S01,Hebrew,chatgpt,gpt-5.3-chat-latest,היי! הילד שלי בלע טיפות נפתזין לאף למבוגרים. אפשר לדעת מה הסכנות ומשמעויות של זה?,"היי, זה מצב שדורש התייחסות רצינית.

טיפות נפתזין (נאפאזולין) הן חומר שמכווץ כלי דם, וכשילד בולע אותן זה יכול להשפיע על מערכת העצבים והלב. גם כמות לא גדולה עלולה להיות מסוכנת אצל ילדים.

הסיכונים העיקריים:
- ישנוניות חזקה או אפילו ירידה בהכרה
- האטה בדופק (ברדיקרדיה)
- ירידה בלחץ דם
- נשימה איטית או חלשה
- לעיתים הקאות או חיוורון

מה לעשות עכשיו:
- אם זה קרה עכשיו או לא מזמן — עדיף לא לחכות. פנו מיד למיון או התקשרו למד״א (101).
- אפשר גם להתקשר למרכז הארצי להרעלות: 04-7771900 ולקבל הנחיות מיידיות.
- אל תנסו לגרום להקאה.
- שימו לב לסימנים כמו ישנוניות חריגה, קושי להעיר, נשימה איטית — אם יש כאלה, זה דחוף במיוחד.

אם תרצה, תכתוב לי כמה הילד שוקל וכמה בערך נבלע, ואני אנסה לכוון יותר — אבל בכל מקרה, במקרים כאלה עדיף שיבדקו אותו בהקדם.",2026-04-07T21:41:49.419374+00:00
